Unnamed: 0,precision,recall
0,0.0,0.0
1,0.6205671699973161,0.0101010101010101
2,0.6167888919431027,0.0202020202020202
3,0.6136397443116828,0.0303030303030303
4,0.6100473347872195,0.0404040404040404
5,0.606627106982928,0.0505050505050505
6,0.6036977223244804,0.0606060606060606
7,0.6009798535037585,0.0707070707070707
8,0.5980787865829408,0.0808080808080808
9,0.5954628834183157,0.0909090909090909
10,0.5928567159763521,0.101010101010101
11,0.5905692174682459,0.1111111111111111
12,0.588390205678753,0.1212121212121212
13,0.586384934770896,0.1313131313131313
14,0.5843595966569654,0.1414141414141414
15,0.5821066545025173,0.1515151515151515
16,0.579775566498343,0.1616161616161616
17,0.5773493759261904,0.1717171717171717
18,0.5746042727423656,0.1818181818181818
19,0.5716270887868533,0.1919191919191919
20,0.5686024949641598,0.202020202020202
21,0.5653503548244807,0.2121212121212121
22,0.5619866058552392,0.2222222222222222
23,0.5583609229858405,0.2323232323232323
24,0.5545677398216704,0.2424242424242424
25,0.5504069572890917,0.2525252525252525
26,0.545887877332581,0.2626262626262626
27,0.5410689536197321,0.2727272727272727
28,0.536277293360398,0.2828282828282829
29,0.531630357714216,0.2929292929292929
30,0.5269455109976574,0.303030303030303
31,0.522151864712314,0.3131313131313131
32,0.5172295799321933,0.3232323232323232
33,0.5124251532028022,0.3333333333333333
34,0.5075907512795724,0.3434343434343435
35,0.5027560502016925,0.3535353535353536
36,0.4979700001413008,0.3636363636363636
37,0.4932647406527312,0.3737373737373737
38,0.4886274852767984,0.3838383838383838
39,0.4841494437689904,0.393939393939394
40,0.4797378256834507,0.4040404040404041
41,0.4753352792540246,0.4141414141414142
42,0.4709396783259797,0.4242424242424242
43,0.4666199531178756,0.4343434343434343
44,0.4623148168499015,0.4444444444444445
45,0.458031877587469,0.4545454545454546
46,0.4537460034785999,0.4646464646464647
47,0.4494987952862427,0.4747474747474748
48,0.4452687200743545,0.4848484848484848
49,0.441032513035637,0.494949494949495
50,0.4367973589931898,0.5050505050505051
51,0.4325998740906484,0.5151515151515152
52,0.4283899624710189,0.5252525252525253
53,0.4241510340874706,0.5353535353535354
54,0.4199191196945339,0.5454545454545455
55,0.4157778767348466,0.5555555555555556
56,0.4114933870014596,0.5656565656565657
57,0.407135580630287,0.5757575757575758
58,0.4027710604974552,0.5858585858585859
59,0.3983612664419219,0.595959595959596
60,0.3936611687317567,0.6060606060606061
61,0.3887785625081479,0.6161616161616162
62,0.3836903334796725,0.6262626262626263
63,0.3780929694252132,0.6363636363636365
64,0.3722798309608194,0.6464646464646465
65,0.3659090059163662,0.6565656565656566
66,0.358896168232392,0.6666666666666667
67,0.3514579879970733,0.6767676767676768
68,0.3435264698731807,0.686868686868687
69,0.3352203522201802,0.696969696969697
70,0.326987264535757,0.7070707070707072
71,0.3189541759809242,0.7171717171717172
72,0.3107651149245249,0.7272727272727273
73,0.3027131610446752,0.7373737373737375
74,0.2946611402357966,0.7474747474747475
75,0.2863301101542189,0.7575757575757577
76,0.277794063623401,0.7676767676767677
77,0.2691619388871151,0.7777777777777778
78,0.2606905907231918,0.787878787878788
79,0.2522630320084014,0.797979797979798
80,0.2438229566801554,0.8080808080808082
81,0.2354682607283766,0.8181818181818182
82,0.2274121477099721,0.8282828282828284
83,0.2190623528340214,0.8383838383838385
84,0.2106268138900235,0.8484848484848485
85,0.20193229449233,0.8585858585858587
86,0.1930651149411211,0.8686868686868687
87,0.1839399454681975,0.8787878787878789
88,0.1744259484512808,0.888888888888889
89,0.1646844088330646,0.8989898989898991
90,0.1553998825299111,0.9090909090909092
91,0.146591965456959,0.9191919191919192
92,0.1385053112908942,0.9292929292929294
93,0.1311153473907039,0.9393939393939394
94,0.1247275905870656,0.9494949494949496
95,0.1192922803481699,0.9595959595959596
96,0.1142847722170703,0.9696969696969696
97,0.1097286515143084,0.97979797979798
98,0.1053387805785029,0.98989898989899
99,0.1000493546038486,1.0
